,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,h_per_l,year_sqrt,official_dealer
0,2014,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5,59.294871794871796,4056196,0
1,2014,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5,69.10547396528705,4056196,0
2,2010,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5,64.46991404011462,4040100,0
3,2007,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5,67.95069337442219,4028049,0
4,2017,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5,68.38763575605681,4068289,0
5,2007,175000,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5,54.194156456173424,4028049,0
6,2001,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4,46.482412060301506,4004001,0
7,2011,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5,49.19354838709677,4044121,0
8,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5,48.67762687634024,4052169,0
9,2014,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5,74.22997946611909,4056196,0
10,2005,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5,60.42296072507553,4020025,0
11,2009,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5,59.21474358974359,4036081,0
12,2007,80000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4028049,0
13,2009,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5,63.14797360980208,4036081,0
14,2016,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5,68.44741235392321,4064256,0
15,2012,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5,64.46991404011462,4048144,0
16,2002,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5,58.16582914572864,4008004,0
17,2016,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,63.56017191977078,4064256,0
18,2011,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5,43.874058863791916,4044121,0
19,2017,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5,65.82109479305741,4068289,0
20,2015,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,59.294871794871796,4060225,0
21,2012,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5,71.15384615384615,4048144,0
22,2016,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,69.4235588972431,4064256,0
23,2017,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5,59.42211055276381,4068289,0
24,2013,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7,59.13461538461538,4052169,0
25,2009,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5,63.14797360980208,4036081,0
26,2018,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8,42.96482412060302,4072324,0
27,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,0
28,2003,50000,Petrol,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4012009,0
29,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5,43.969849246231156,4048144,0
30,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4068289,0
31,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4,50.62814070351758,4076361,0
32,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5,67.23446893787575,4076361,0
33,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,76.24135763670647,4076361,0
34,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5,55.92654424040067,4064256,0
35,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7,63.34557136301056,4044121,0
36,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4,46.482412060301506,4048144,0
37,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5,78.3567134268537,4072324,0
38,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5,77.68871075484302,4052169,0
39,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4072324,0
40,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5,67.18436873747494,4072324,0
41,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7,56.50570087189805,4056196,0
42,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7,40.09623095429029,4052169,0
43,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5,56.32291180587961,4056196,0
44,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5,65.8411214953271,4060225,0
45,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7,70.87605974969722,4052169,0
46,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5,65.82109479305741,4060225,0
47,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5,65.82109479305741,4060225,0
48,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7,62.25045372050817,4064256,0
49,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7,40.336808340016034,4064256,0
50,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5,88.58231707317074,4052169,0
51,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5,95.39634146341464,4052169,0
52,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5,79.32804479701355,4052169,0
53,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5,71.15384615384615,4044121,0
54,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5,65.91478696741855,4044121,0
55,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5,63.581661891117484,4052169,0
56,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5,59.294871794871796,4060225,0
57,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5,72.5752508361204,4068289,0
58,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,69.4235588972431,4076361,0
59,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5,72.42656875834446,4064256,0
60,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5,65.82109479305741,4060225,0
61,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5,67.13426853707415,4072324,0
62,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5,72.51001335113484,4068289,0
63,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4076361,0
64,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5,59.294871794871796,4064256,0
65,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7,56.50570087189805,4060225,0
66,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5,59.294871794871796,4052169,0
67,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7,68.24471959213402,4048144,0
68,2003,70000,Diesel,Individual,Manual,First Owner,18.9,1248.0,74.0,5,59.294871794871796,4012009,0
69,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5,64.83103879849811,4052169,0
70,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8,40.336808340016034,4064256,0
71,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5,65.81441922563418,4060225,0
72,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5,67.17434869739479,4068289,0
73,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5,55.968280467445744,4064256,0
74,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,59.42211055276381,4064256,0
75,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5,59.42211055276381,4064256,0
76,2015,78000,Diesel,Dealer,Manual,First Owner,18.9,1248.0,74.0,5,59.294871794871796,4060225,0
77,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5,62.66114180478821,4048144,0
78,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5,43.969849246231156,4068289,0
79,2010,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5,58.31663326653307,4040100,0
80,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5,61.76961602671119,4060225,0
81,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5,62.66114180478821,4060225,0
82,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5,64.83103879849811,4048144,0
83,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5,67.23446893787575,4036081,0
84,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5,69.21470342522973,4052169,0
85,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5,59.294871794871796,4064256,0
86,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5,68.50459482038428,4064256,0
87,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5,58.16582914572864,4032064,0
88,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5,63.56017191977078,4068289,0
89,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5,67.18436873747494,4036081,0
90,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5,72.11538461538461,4040100,0
91,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5,68.33751044277359,4076361,0
92,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5,69.4235588972431,4072324,0
93,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8,55.07113354749886,4056196,0
94,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5,79.29648241206031,4080400,0
95,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5,76.24135763670647,4068289,0
96,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5,88.98776418242491,4040100,0
97,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7,71.13354749885269,4076361,0
98,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5,49.11743772241993,4064256,0
99,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5,79.84829329962072,4052169,0
100,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5,63.581661891117484,4052169,0
101,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5,76.8075639599555,4036081,0
102,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5,67.17434869739479,4080400,0
103,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5,70.91346153846153,4064256,0
104,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5,69.45697577276525,4068289,0
105,2010,120000,Diesel,Individual,Manual,Second Owner,18.9,1248.0,74.0,5,59.294871794871796,4040100,0
106,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5,57.35797399041752,4056196,0
107,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5,79.7724399494311,4064256,0
108,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5,59.21474358974359,4048144,0
109,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5,67.06706706706707,4072324,0
110,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5,67.17434869739479,4060225,0
111,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5,58.16582914572864,4032064,0
112,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5,57.18232044198895,4036081,0
113,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7,71.12179487179488,4060225,0
114,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5,72.37061769616027,4076361,0
115,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5,98.69855394883204,4072324,0
116,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5,97.17436250861475,4076361,0
117,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5,76.7686318131257,4052169,0
118,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5,70.91346153846153,4060225,0
119,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5,60.07208650380457,4040100,0
120,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5,90.56761268781302,4072324,0
121,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5,64.83103879849811,4044121,0
